DateTime,EraTemperatureMilliDegC,UcTemperatureMilliDegC
21:52.2,65000,1079
21:52.9,65000,1079
21:57.2,65000,1079
21:57.9,65000,1079
22:02.2,65000,1080
22:02.9,65500,1079
22:07.2,65000,1079
22:07.9,65000,1080
22:12.2,65000,1080
22:13.0,65500,1080
22:17.2,65000,1080
22:18.0,65000,1080
22:22.2,65500,1080
22:23.0,65000,1080
22:27.2,65500,1080
22:28.0,65500,1080
22:32.2,65500,1080
22:33.0,65500,1080
22:37.2,65500,1080
22:38.0,65500,1080
22:42.2,65500,1080
22:43.0,65500,1080
22:47.3,65500,1080
22:48.0,65500,1080
22:52.3,65500,1081
22:53.0,65500,1081
22:57.3,65500,1081
22:58.0,65500,1081
23:02.3,65500,1081
23:03.0,65500,1081
23:07.3,65500,1081
23:08.0,65500,1081
23:12.3,65500,1082
23:13.1,65500,1081
23:17.3,65500,1082
23:18.1,65500,1082
23:22.3,65500,1082
23:23.1,65500,1082
23:27.3,65500,1081
23:28.1,65500,1082
23:32.3,65500,1082
23:33.1,65500,1082
23:37.4,65500,1082
23:38.1,65500,1082
23:42.3,65500,1082
23:43.1,65500,1082
23:47.3,65500,1082
23:48.1,65500,1082
23:52.4,65500,1082
23:53.1,65500,1082
23:57.4,65500,1083
23:58.1,65500,1083
24:02.4,65500,1082
24:03.1,65500,1082
24:07.4,65500,1083
24:08.1,65500,1083
24:12.4,65500,1083
24:13.2,65500,1083
24:17.4,65500,1082
24:18.2,65500,1083
24:22.4,65500,1083
24:23.2,65500,1083
24:27.4,65500,1083
24:28.2,65500,1083
24:32.4,65500,1083
24:33.2,65500,1083
24:37.4,65500,1083
24:38.2,65500,1083
24:42.4,65500,1083
24:43.2,65500,1083
24:47.4,65500,1083
24:48.2,65500,1084
24:52.5,65500,1084
24:53.2,65500,1083
24:57.5,65500,1084
24:58.2,65500,1084
25:02.5,65500,1084
25:03.2,65500,1084
25:07.5,65500,1084
25:08.2,65500,1084
25:12.5,65500,1084
25:13.3,65500,1084
25:17.5,65500,1085
25:18.3,65500,1085
25:22.5,65500,1085
25:23.3,65500,1085
25:27.5,65500,1085
25:28.3,65500,1085
25:32.5,65500,1085
25:33.3,65500,1085
25:37.5,65500,1085
25:38.3,65500,1085
25:42.5,65500,1085
25:43.3,65500,1085
25:47.5,65500,1085
25:48.3,65500,1085
25:52.5,65500,1085
25:53.3,65500,1085
25:57.6,65500,1085
25:58.3,65500,1085
26:02.6,65500,1085
26:03.3,65500,1086
26:07.6,65500,1085
26:08.3,65500,1085
26:12.6,65500,1086
26:13.3,65500,1086
26:17.6,65500,1086
26:18.3,65500,1086
26:22.6,65500,1086
26:23.3,65500,1086
26:27.6,65500,1086
26:28.4,65500,1086
26:32.6,65500,1086
26:33.4,65500,1086
26:37.6,65500,1087
26:38.4,65500,1086
26:42.6,65500,1087
26:43.4,65500,1087
26:47.6,65500,1087
26:48.4,65500,1087
26:52.6,65500,1087
26:53.4,65500,1087
26:57.6,65500,1087
26:58.4,65500,1087
27:02.6,65500,1087
27:03.4,65500,1087
27:07.6,65500,1087
27:08.4,65500,1087
27:12.7,65500,1087
27:13.4,65500,1087
27:17.7,65500,1087
27:18.4,65500,1087
27:22.7,65500,1087
27:23.4,65500,1087
27:27.7,65500,1087
27:28.5,65500,1087
27:32.7,65500,1087
27:33.5,65500,1087
27:37.7,65500,1087
27:38.5,65500,1088
27:42.7,65500,1087
27:43.5,65500,1088
27:47.7,65500,1087
27:48.5,65500,1087
27:52.7,65500,1087
27:53.5,65500,1088
27:57.7,65500,1088
27:58.5,65500,1088
28:02.7,65500,1088
28:03.5,65500,1088
28:07.7,65500,1088
28:08.5,65500,1088
28:12.8,65500,1088
28:13.5,65500,1088
28:17.8,65500,1088
28:18.5,65500,1088
28:22.8,65500,1088
